A||B||C||D||E||F||G
2018-12-08 00:00:00||85.05||85.99||84.87||84.91||9773.84399||87.0
2018-12-08 00:15:00||84.91||84.96||83.02||83.69||22699.41344||87.0
2018-12-08 00:30:00||83.69||83.89||82.83||83.88||14488.35475||84.0
2018-12-08 00:45:00||83.88||84.76||83.05||83.28||12046.86143||84.0
2018-12-08 01:00:00||83.35||83.43||82.42||83.11||12840.43193||84.0
2018-12-08 01:15:00||83.11||83.58||82.45||82.92||7474.32189||84.0
2018-12-08 01:30:00||82.84||84.64||82.07||83.9||14041.13951||84.0
2018-12-08 01:45:00||83.9||85.0||83.7||84.43||11060.53121||84.0
2018-12-08 02:00:00||84.43||85.62||84.33||84.97||10608.44716||87.0
2018-12-08 02:15:00||84.97||85.0||83.91||84.1||6252.71479||87.0
2018-12-08 02:30:00||84.13||84.36||83.64||84.06||5669.69415||87.0
2018-12-08 02:45:00||84.04||84.38||83.5||84.04||5376.70406||87.0
2018-12-08 03:00:00||84.04||91.8||84.03||90.36||31342.05334||87.0
2018-12-08 03:15:00||90.37||95.19||90.37||95.14||49990.64625||93.0
2018-12-08 03:30:00||95.14||96.0||93.37||94.28||24018.44658||96.0
2018-12-08 03:45:00||94.29||96.9||93.6||96.65||18325.6458||96.0
2018-12-08 04:00:00||96.68||96.9||93.97||94.33||22708.03278||99.0
2018-12-08 04:15:00||94.34||95.07||94.21||94.79||10567.25866||96.0
2018-12-08 04:30:00||94.79||94.98||91.76||91.97||20422.61036||96.0
2018-12-08 04:45:00||91.93||92.7||90.54||91.35||14292.73481||93.0
2018-12-08 05:00:00||91.35||91.69||90.32||91.07||10870.22064||93.0
2018-12-08 05:15:00||91.04||91.94||90.75||91.43||7634.02912||93.0
2018-12-08 05:30:00||91.43||93.7||91.2||93.6||8058.30632||93.0
2018-12-08 05:45:00||93.59||93.7||92.5||93.5||7119.13545||96.0
2018-12-08 06:00:00||93.58||93.7||91.81||91.98||5293.20284||96.0
2018-12-08 06:15:00||92.03||93.47||91.21||93.46||6761.27497||93.0
2018-12-08 06:30:00||93.46||93.5||92.02||93.22||4336.19664||96.0
2018-12-08 06:45:00||93.21||93.83||92.99||93.74||4565.38966||96.0
2018-12-08 07:00:00||93.71||94.34||92.6||92.7||10060.48873||96.0
2018-12-08 07:15:00||92.7||93.19||91.96||92.28||6875.45808||93.0
2018-12-08 07:30:00||92.27||92.74||91.62||92.57||6016.23671||93.0
2018-12-08 07:45:00||92.56||93.46||92.2||93.05||4708.5655||93.0
2018-12-08 08:00:00||93.06||95.1||92.96||94.75||8090.016||96.0
2018-12-08 08:15:00||94.77||96.5||94.35||94.69||10147.2583||96.0
2018-12-08 08:30:00||94.66||96.16||94.47||96.11||7856.16765||96.0
2018-12-08 08:45:00||96.11||98.0||95.5||97.83||19979.64936||99.0
2018-12-08 09:00:00||97.81||97.9||96.04||96.61||9627.1251||99.0
2018-12-08 09:15:00||96.64||96.66||95.09||95.28||8198.75528||99.0
2018-12-08 09:30:00||95.3||95.68||95.2||95.46||5224.39209||96.0
2018-12-08 09:45:00||95.47||95.51||94.56||95.38||5560.84744||96.0
2018-12-08 10:00:00||95.38||95.84||94.53||94.61||6524.16459||96.0
2018-12-08 10:15:00||94.61||94.99||94.42||94.64||7555.71831||96.0
2018-12-08 10:30:00||94.64||94.75||93.88||94.33||6361.7823||96.0
2018-12-08 10:45:00||94.31||94.95||93.65||94.66||6009.5516||96.0
2018-12-08 11:00:00||94.67||96.18||94.36||95.1||6760.57823||96.0
2018-12-08 11:15:00||95.12||95.71||94.58||94.74||6564.81395||96.0
2018-12-08 11:30:00||94.8||95.31||94.7||95.03||6092.36057||96.0
2018-12-08 11:45:00||95.03||95.19||94.5||94.67||4091.16781||96.0
2018-12-08 12:00:00||94.69||94.7||94.04||94.15||4280.08807||96.0
2018-12-08 12:15:00||94.14||95.3||94.02||94.51||5965.62314||96.0
2018-12-08 12:30:00||94.52||94.68||93.5||93.76||4773.06553||96.0
2018-12-08 12:45:00||93.72||94.22||92.72||92.94||5692.47574||96.0
2018-12-08 13:00:00||92.97||93.35||92.41||92.84||7000.8655||93.0
2018-12-08 13:15:00||92.85||93.69||92.81||93.18||6713.29735||93.0
2018-12-08 13:30:00||93.18||93.45||91.79||92.15||10069.15249||96.0
2018-12-08 13:45:00||92.13||92.74||91.85||92.2||6210.97405||93.0
2018-12-08 14:00:00||92.22||92.71||91.41||91.45||12491.86559||93.0
2018-12-08 14:15:00||91.44||92.0||91.04||91.88||7685.07053||93.0
2018-12-08 14:30:00||91.87||92.0||91.31||91.34||10669.01863||93.0
