A||G||H||I||J||K||currPrice||stopPrice||operDirection||operDescription
2018-12-05 17:15:00||3376.339334193186||4072.5814242626593||-696.2420900694733||-518.9586883946608||-354.56680334962493||0.0||0.0|| || 
2018-12-05 17:30:00||3089.2144458557723||3882.7626195024623||-793.54817364669||-573.8765854450667||-439.3431764032466||0.0||0.0|| || 
2018-12-05 17:45:00||2711.919032647192||3642.320518798576||-930.4014861513838||-645.1815655863301||-570.4398411301074||0.0||0.0|| || 
2018-12-05 18:00:00||2550.4386953168546||3495.6520981468298||-945.2134028299752||-705.1879330350591||-480.05093958983207||0.0||0.0|| || 
2018-12-05 18:15:00||2611.0449652681077||3454.81708717299||-843.7721219048822||-732.9047708090238||-221.73470219171668||0.0||0.0|| || 
2018-12-05 18:30:00||2571.022933688399||3373.045581456472||-802.022647768073||-746.7283462008336||-110.58860313447894||0.0||0.0|| || 
2018-12-05 18:45:00||2682.691993120953||3367.4030806078445||-684.7110874868913||-734.3248944580452||99.2276139423077||0.0||0.0|| || 
2018-12-05 19:00:00||2517.981638794653||3237.378755377634||-719.3971165829812||-731.3393388830324||23.88444460010237||0.0||0.0|| || 
2018-12-05 19:15:00||2418.2735897493217||3136.082500905217||-717.8089111558952||-728.6332533376049||21.648684363419306||0.0||0.0|| || 
2018-12-05 19:30:00||2448.601048249426||3097.513580097423||-648.9125318479969||-712.6891090396832||127.55315438337266||0.0||0.0|| || 
2018-12-05 19:45:00||3392.050837749515||3503.6995874976137||-111.64874974809891||-592.4810371813663||961.6645748665348||0.0||0.0|| || 
2018-12-05 20:00:00||3408.9080196342047||3503.5457306459384||-94.6377110117337||-492.9123719474398||796.5493218714122||0.0||0.0|| || 
2018-12-05 20:15:00||3569.537599690481||3573.8756980054986||-4.33809831501776||-395.1975172209554||781.7188378118752||0.0||0.0|| || 
2018-12-05 20:30:00||3420.5573305073294||3501.8231166717583||-81.26578616442885||-332.41117100965005||502.2907696904424||0.0||0.0|| || 
